_id,Date,Gender,Race,Age at Booking,Current Age
187,2017-07-01,M,B,32,33
188,2017-07-01,M,B,34,35
189,2017-07-01,M,W,39,40
190,2017-07-01,M,B,18,19
191,2017-07-01,M,W,32,33
192,2017-07-01,M,B,23,23
193,2017-07-01,M,W,30,30
194,2017-07-01,M,B,64,65
195,2017-07-01,M,W,43,44
196,2017-07-01,M,W,46,47
197,2017-07-01,M,B,26,27
198,2017-07-01,M,B,19,20
199,2017-07-01,M,B,36,36
200,2017-07-01,M,W,21,22
201,2017-07-01,M,W,45,46
202,2017-07-01,M,B,27,27
203,2017-07-01,M,B,19,19
204,2017-07-01,M,W,42,42
205,2017-07-01,M,B,43,44
206,2017-07-01,M,B,27,27
207,2017-07-01,M,B,39,39
208,2017-07-01,M,W,22,22
209,2017-07-01,M,B,33,33
210,2017-07-01,M,B,56,56
211,2017-07-01,M,B,32,33
212,2017-07-01,M,B,31,31
213,2017-07-01,M,B,19,20
214,2017-07-01,M,B,25,25
215,2017-07-01,M,W,23,23
216,2017-07-01,M,B,26,26
217,2017-07-01,M,B,49,49
218,2017-07-01,M,W,31,31
219,2017-07-01,M,B,25,25
220,2017-07-01,M,W,18,19
221,2017-07-01,M,B,29,29
222,2017-07-01,M,W,36,37
223,2017-07-01,M,W,38,38
224,2017-07-01,M,B,18,18
225,2017-07-01,M,B,40,40
226,2017-07-01,M,W,42,42
227,2017-07-01,M,W,34,34
228,2017-07-01,M,B,25,25
229,2017-07-01,M,B,38,38
230,2017-07-01,M,B,24,24
231,2017-07-01,M,B,27,27
232,2017-07-01,M,B,31,31
233,2017-07-01,M,B,35,35
234,2017-07-01,M,B,58,58
235,2017-07-01,M,B,64,64
236,2017-07-01,M,W,22,22
237,2017-07-01,M,W,24,24
238,2017-07-01,M,B,24,24
239,2017-07-01,M,W,19,19
240,2017-07-01,M,W,25,25
241,2017-07-01,M,B,25,25
242,2017-07-01,M,B,46,46
243,2017-07-01,M,W,61,61
244,2017-07-01,M,B,19,19
245,2017-07-01,M,B,56,56
246,2017-07-01,M,B,28,28
247,2017-07-01,M,B,24,24
248,2017-07-01,M,W,25,25
249,2017-07-01,M,W,22,22
250,2017-07-01,M,B,51,51
251,2017-07-01,M,W,24,24
252,2017-07-01,M,B,40,40
253,2017-07-01,M,B,36,36
254,2017-07-01,M,W,23,23
255,2017-07-01,M,W,39,39
256,2017-07-01,M,W,22,22
257,2017-07-01,M,W,35,35
258,2017-07-01,M,W,34,34
259,2017-07-01,M,W,55,55
260,2017-07-01,M,B,23,23
261,2017-07-01,M,W,20,20
262,2017-07-01,M,W,49,49
263,2017-07-01,M,B,48,48
264,2017-07-01,M,B,20,20
265,2017-07-01,M,B,55,55
266,2017-07-01,M,W,27,27
267,2017-07-01,M,B,19,19
268,2017-07-01,M,W,37,37
269,2017-07-01,M,W,37,37
270,2017-07-01,M,B,52,52
271,2017-07-01,M,B,27,29
272,2017-07-01,M,W,34,35
273,2017-07-01,M,W,64,65
274,2017-07-01,M,B,29,30
275,2017-07-01,M,W,48,49
276,2017-07-01,M,A,30,31
277,2017-07-01,M,B,32,33
278,2017-07-01,M,W,23,24
279,2017-07-01,M,B,37,38
280,2017-07-01,M,W,51,51
281,2017-07-01,M,W,29,30
282,2017-07-01,M,B,24,25
283,2017-07-01,M,B,51,52
284,2017-07-01,M,B,19,19
